Estimates of Stillbirths by Sustainable Development Goal region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region.Name,Uncertainty.Bounds*,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5,2019.5,2020.5,2021.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlocked developing countries,Lower,312911,311485,311884,313236,315290,315610,316648,317292,315080,315732,315423,313982,312892,310452,307974,305154,302257,300942,300588,299369,297296,295423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlocked developing countries,Median,351114,349383,348400,349755,351114,350559,350611,350878,346947,346625,345211,343167,341019,337923,334993,331301,327883,325441,324809,323963,323471,322161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlocked developing countries,Upper,415208,411797,408862,409766,408935,406230,404470,402877,396904,395254,392075,388322,384392,380008,376401,372180,367225,364037,362693,362725,363632,364561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small island developing States,Lower,18611,18332,18263,18150,18032,17849,17701,17564,17565,17520,17375,17263,17015,16818,16558,16395,16199,15960,15749,15477,15193,14946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small island developing States,Median,21343,21000,20883,20764,20616,20435,20231,20079,20078,20020,19880,19715,19472,19231,18985,18847,18635,18429,18233,17942,17664,17384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small island developing States,Upper,25993,25457,25209,24996,24745,24544,24204,23999,23928,23927,23788,23603,23307,23083,22881,22670,22471,22277,22070,21867,21628,21403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Northern America,Lower,48636,47778,46964,46279,45538,44177,43947,44162,44438,42893,41963,41181,41198,39465,38662,38917,38273,35835,34031,32326,31290,30523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Northern America,Median,49603,48655,47812,47124,46359,44947,44693,44876,45148,43507,42535,41726,41745,39964,39144,39407,38784,36480,34789,33130,32186,31739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Northern America,Upper,50784,49711,48850,48138,47335,45843,45552,45720,45930,44236,43166,42339,42337,40528,39701,39940,39333,37199,35653,34106,33279,33204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,Lower,14156,13953,13598,13465,13433,13120,13410,13728,13957,13138,12785,12617,12646,12486,12194,12106,12031,11696,11320,11034,10833,10443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,Median,14582,14331,13956,13826,13804,13462,13757,14099,14353,13477,13124,12949,12975,12809,12507,12414,12345,11991,11614,11327,11164,11237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,Upper,15011,14707,14332,14199,14163,13835,14124,14484,14723,13847,13461,13284,13323,13139,12844,12739,12678,12312,11923,11634,11496,12098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Lower,34157,33533,33075,32527,31804,30793,30276,30167,30210,29508,28945,28343,28334,26765,26271,26609,26035,23929,22484,21047,20185,19599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
