,,UNICEF GLOBAL DATABASES [data.unicef.org],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Mortality Estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional and global Stillbirths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates generated by the UN Inter-agency Group for Child Mortality Estimation (UN IGME) in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downloaded from http://data.unicef.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by the Data and Analytics Section; Division of Data, Analytics, Planning and Monitoring, UNICEF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact us:  data@unicef.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update: 10 January 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of Stillbirths by UNICEF region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region.Name,Uncertainty.Bounds*,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5,2019.5,2020.5,2021.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Lower,723026,729064,734149,740085,746105,752741,759401,765769,774529,780277,784201,788321,790332,791623,794067,796847,799690,804596,809671,812086,813743,813044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Median,793371,800334,805143,809607,814199,821293,826558,832492,840738,845903,850690,854783,855627,856748,858911,861043,864119,868863,875116,879129,881134,881965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,Upper,925072,929107,930338,931982,933319,938136,941427,945932,952239,954314,956597,960436,959791,959359,961002,964507,969273,977239,986067,994182,998879,1005058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Lower,353392,358204,362889,367237,371226,377011,380729,385435,389539,395611,399863,404387,408521,411100,414371,417534,421544,425453,429640,433059,435801,438156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Median,413848,419061,423910,428190,430808,435849,439245,443241,448475,453651,458408,463437,467229,469656,473328,476922,480863,485957,491573,496290,500491,503901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West and Central Africa,Upper,515305,518312,522116,525204,526418,529186,532327,535288,540690,545247,548510,552819,554885,558814,564446,568360,574962,584038,592770,600149,606275,613697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Lower,341311,343667,344520,345815,348398,350621,353769,356922,360368,361561,362881,362243,360397,359800,358664,358025,357199,357481,357760,357036,353478,350368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Median,379523,381273,381233,381417,383391,385444,387313,389251,392263,392252,392282,391346,388398,387092,385583,384121,383256,382906,383543,382839,380643,378064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and Southern Africa,Upper,442351,442118,439577,437027,438467,438775,438697,439038,440322,438413,437000,434991,430282,427433,425180,422986,421101,420036,419988,420812,420420,420537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Lower,112308,111654,110750,110313,109964,109622,109454,109354,109268,109433,110184,110873,111214,111194,109911,107963,104089,101422,98580,95534,93513,91328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Median,128358,127303,125942,125281,124694,124112,123566,123483,122966,122718,123566,124195,124816,124844,123980,121903,117281,114677,111769,108278,106321,104206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East and North Africa,Upper,155349,153423,151384,150056,148627,147317,145897,145021,143927,143695,144436,145040,145689,145939,145393,143135,138007,135320,132512,128811,127348,125530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Lower,1120635,1119994,1104433,1091135,1067841,1026839,990433,960495,930394,905388,874681,848094,829082,810102,777624,738684,704381,662356,627981,593327,562912,541160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Median,1324629,1307143,1275991,1241175,1205466,1153197,1105246,1067658,1027366,991887,951965,914730,891395,870760,833240,792341,755296,711969,679717,645861,619526,602747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,Upper,1599905,1554459,1495322,1432331,1374816,1309126,1245416,1198245,1145133,1096621,1040369,993889,962949,938855,896998,853853,817855,773047,741497,709749,689893,681404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Lower,417032,400059,392270,383733,373209,360787,352641,346040,341447,333686,317658,305141,308251,285875,272325,250676,238021,225636,197745,183893,164980,152784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Median,448140,431370,425742,417031,407181,394392,383038,374199,366223,354908,337407,322855,323129,300156,286142,264390,251702,239481,212741,200174,181241,169030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia and Pacific,Upper,490819,471380,468623,461670,451361,437184,422832,410767,397653,381399,362569,345620,342638,318840,304725,283119,271187,259308,234099,223285,204994,193103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Lower,121321,117525,113652,109791,106776,103820,100753,98224,95979,94691,93100,91737,89941,87947,86349,85014,82841,80274,78167,75104,72690,70307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Median,130755,126134,121520,117188,113787,110438,107171,104294,101892,100281,98321,96840,94959,92944,91119,89869,87649,85020,82969,79798,77591,75307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and Caribbean,Upper,145124,139197,133346,128077,123908,120024,116131,112848,110036,108170,105913,104150,101853,99850,97843,96709,94318,91873,89827,86736,84785,82948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Lower,14156,13953,13598,13465,13433,13120,13410,13728,13957,13138,12785,12617,12646,12486,12194,12106,12031,11696,11320,11034,10833,10443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Median,14582,14331,13956,13826,13804,13462,13757,14099,14353,13477,13124,12949,12975,12809,12507,12414,12345,11991,11614,11327,11164,11237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,Upper,15011,14707,14332,14199,14163,13835,14124,14484,14723,13847,13461,13284,13323,13139,12844,12739,12678,12312,11923,11634,11496,12098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Lower,65558,64190,61871,60073,58843,57282,56392,55756,55364,53935,52513,51454,51054,49182,48296,47929,46811,43739,41848,40092,39480,38274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Median,70015,68392,65601,63484,62118,60324,59239,58556,57984,56403,54790,53651,53227,51338,50424,50068,48896,45792,44001,42289,41689,40443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Central Asia,Upper,76619,74475,71108,68675,66870,64760,63450,62555,61797,60004,58206,56912,56457,54536,53653,53203,51998,48860,47234,45592,45099,43816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Lower,46551,45831,44132,42727,41872,40777,40039,39747,39413,38476,37249,36682,36662,35469,34768,34552,33429,30672,29150,27824,27419,26249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Median,50987,49995,47819,46112,45111,43794,42894,42501,41999,40943,39527,38874,38833,37641,36915,36705,35510,32736,31317,29989,29580,28373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe and Central Asia,Upper,57541,55992,53313,51222,49828,48126,47107,46477,45799,44530,42934,42102,42053,40810,40124,39813,38614,35790,34530,33251,32925,31670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Lower,18491,17922,17300,16851,16454,15987,15823,15561,15524,15057,14938,14486,14146,13483,13343,13176,13169,12809,12377,11942,11699,11579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Median,19028,18397,17782,17372,17007,16530,16345,16055,15985,15460,15263,14777,14394,13697,13509,13363,13386,13056,12684,12300,12109,12070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,Upper,19626,18916,18345,17979,17634,17140,16949,16620,16517,15912,15625,15100,14677,13938,13690,13568,13617,13334,13030,12725,12611,12692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Lower,2702977,2683903,2660721,2627689,2591327,2537271,2491888,2452387,2414831,2376843,2330744,2285409,2265083,2222519,2170805,2108196,2055422,1998066,1937718,1885763,1835200,1798237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Median,2909850,2875007,2833895,2787592,2741249,2677218,2618575,2574781,2531522,2485577,2429863,2380003,2356128,2309599,2256323,2192028,2137288,2077793,2017927,1966856,1918666,1884935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,Upper,3244083,3179731,3110870,3036150,2970310,2892909,2821126,2767544,2714307,2654177,2585036,2525827,2494859,2445862,2389676,2325414,2273088,2214457,2158695,2113433,2069478,2046421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of Stillbirths by Sustainable Development Goal region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region.Name,Uncertainty.Bounds*,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5,2019.5,2020.5,2021.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlocked developing countries,Lower,312911,311485,311884,313236,315290,315610,316648,317292,315080,315732,315423,313982,312892,310452,307974,305154,302257,300942,300588,299369,297296,295423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlocked developing countries,Median,351114,349383,348400,349755,351114,350559,350611,350878,346947,346625,345211,343167,341019,337923,334993,331301,327883,325441,324809,323963,323471,322161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlocked developing countries,Upper,415208,411797,408862,409766,408935,406230,404470,402877,396904,395254,392075,388322,384392,380008,376401,372180,367225,364037,362693,362725,363632,364561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small island developing States,Lower,18611,18332,18263,18150,18032,17849,17701,17564,17565,17520,17375,17263,17015,16818,16558,16395,16199,15960,15749,15477,15193,14946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small island developing States,Median,21343,21000,20883,20764,20616,20435,20231,20079,20078,20020,19880,19715,19472,19231,18985,18847,18635,18429,18233,17942,17664,17384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small island developing States,Upper,25993,25457,25209,24996,24745,24544,24204,23999,23928,23927,23788,23603,23307,23083,22881,22670,22471,22277,22070,21867,21628,21403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Northern America,Lower,48636,47778,46964,46279,45538,44177,43947,44162,44438,42893,41963,41181,41198,39465,38662,38917,38273,35835,34031,32326,31290,30523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Northern America,Median,49603,48655,47812,47124,46359,44947,44693,44876,45148,43507,42535,41726,41745,39964,39144,39407,38784,36480,34789,33130,32186,31739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe and Northern America,Upper,50784,49711,48850,48138,47335,45843,45552,45720,45930,44236,43166,42339,42337,40528,39701,39940,39333,37199,35653,34106,33279,33204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,Lower,14156,13953,13598,13465,13433,13120,13410,13728,13957,13138,12785,12617,12646,12486,12194,12106,12031,11696,11320,11034,10833,10443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,Median,14582,14331,13956,13826,13804,13462,13757,14099,14353,13477,13124,12949,12975,12809,12507,12414,12345,11991,11614,11327,11164,11237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern America,Upper,15011,14707,14332,14199,14163,13835,14124,14484,14723,13847,13461,13284,13323,13139,12844,12739,12678,12312,11923,11634,11496,12098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Lower,34157,33533,33075,32527,31804,30793,30276,30167,30210,29508,28945,28343,28334,26765,26271,26609,26035,23929,22484,21047,20185,19599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Median,35021,34324,33856,33298,32555,31485,30936,30777,30795,30030,29411,28777,28770,27155,26637,26993,26439,24489,23175,21803,21022,20502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Upper,36127,35300,34815,34241,33457,32302,31709,31497,31485,30648,29941,29290,29268,27613,27075,27417,26870,25121,23968,22714,22063,21663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and the Caribbean,Lower,121321,117525,113652,109791,106776,103820,100753,98224,95979,94691,93100,91737,89941,87947,86349,85014,82841,80274,78167,75104,72690,70307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and the Caribbean,Median,130755,126134,121520,117188,113787,110438,107171,104294,101892,100281,98321,96840,94959,92944,91119,89869,87649,85020,82969,79798,77591,75307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America and the Caribbean,Upper,145124,139197,133346,128077,123908,120024,116131,112848,110036,108170,105913,104150,101853,99850,97843,96709,94318,91873,89827,86736,84785,82948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and Southern Asia,Lower,1147902,1148402,1133064,1118463,1094157,1053210,1017182,987789,957267,933120,901566,874669,856001,837459,804466,765134,730227,687172,652487,615475,585698,563663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and Southern Asia,Median,1352798,1334767,1303054,1267504,1231786,1179456,1131776,1094641,1054622,1018952,978620,941180,918000,897519,860114,818722,781034,736870,703709,668307,641933,624347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and Southern Asia,Upper,1629714,1582739,1523925,1460176,1403021,1336493,1272809,1226434,1173508,1124817,1067363,1021548,990725,966415,924906,881965,844236,798361,767846,734199,712745,704570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,Lower,11899,11635,11455,11263,11325,11346,11611,11898,12130,12083,11859,11645,11539,11432,11427,11206,10868,10499,10549,10517,11164,10874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,Median,14686,14276,13964,13632,13640,13599,13831,14172,14382,14271,13961,13695,13525,13446,13423,13206,12858,12433,12551,12546,13195,12854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,Upper,19034,18397,17929,17373,17259,17087,17249,17650,17787,17553,17170,16715,16525,16431,16385,16170,15790,15246,15521,15578,16299,15876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,Lower,1132819,1134305,1117463,1104964,1081138,1039489,1002991,973239,943061,918801,887521,860621,842418,823878,790693,751906,717022,674696,639841,602617,572466,550450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,Median,1338112,1320491,1289090,1253872,1218146,1165857,1117945,1080469,1040240,1004681,964659,927485,904475,884073,846691,805516,768176,724437,691158,655761,628738,611493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Asia,Upper,1614281,1567823,1509194,1445928,1388665,1321965,1258406,1211563,1159237,1109919,1053748,1007059,976690,952930,911119,867986,831243,786035,754756,720940,699116,690932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and South-Eastern Asia,Lower,411798,394913,387059,378394,368109,355496,346950,340482,335810,327961,312174,299512,302745,280416,266835,245355,232788,220334,192238,178535,159594,147672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and South-Eastern Asia,Median,442907,426149,420494,411716,401819,388976,377563,368638,360593,349257,331729,317183,317469,294550,280590,258869,246204,233991,207256,194747,175882,163719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern and South-Eastern Asia,Upper,485249,465983,463181,456243,445641,431300,417075,404887,391881,375477,356504,339640,336591,312956,298698,277115,265260,253520,228414,217510,199300,187567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Asia,Lower,250747,234929,228488,222152,214748,205872,199276,194683,192820,190061,177833,169082,178490,160636,151069,133040,124314,114764,87740,75572,59303,49708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Asia,Median,275836,260979,257998,252761,246292,236403,227339,219683,214305,206411,192642,180658,183886,165294,155327,137191,127763,118461,94546,84804,68275,58542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Asia,Upper,304618,289476,291265,288526,282905,272477,260157,248266,237305,223841,208607,193050,189789,170074,160217,141361,131808,122657,102143,95070,79059,69336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
